"AnimalID","Name","DateTime","OutcomeType","AnimalType","Age","Sex","IsFixed","MixColor","MainColor","MixBreed","MainBreed"
"A671945","Yes","2014-02-12 18:22:00","Return_to_owner","Dog",365,"Male","Yes","Yes","Brown","Yes","Other"
"A656520","Yes","2013-10-13 12:44:00","Euthanasia","Cat",365,"Female","Yes","No","Cream","Yes","Domestic Shorthair"
"A686464","Yes","2015-01-31 12:28:00","Adoption","Dog",730,"Male","Yes","Yes","Blue","Yes","Pit Bull"
"A683430","No","2014-07-11 19:09:00","Transfer","Cat",21,"Male","No","No","Blue","Yes","Domestic Shorthair"
"A667013","No","2013-11-15 12:52:00","Transfer","Dog",730,"Male","Yes","No","Tan","Yes","Lhasa Apso"
"A677334","Yes","2014-04-25 13:04:00","Transfer","Dog",30,"Female","No","Yes","Black","Yes","Cairn Terrier"
"A699218","Yes","2015-03-28 13:11:00","Transfer","Cat",21,"Male","No","No","Blue","Yes","Domestic Shorthair"
"A701489","No","2015-04-30 17:02:00","Transfer","Cat",21,"Unknown","Unknown","No","Brown","Yes","Domestic Shorthair"
"A671784","Yes","2014-02-04 17:17:00","Adoption","Dog",150,"Female","Yes","Yes","Red","Yes","American Pit Bull Terrier"
"A677747","No","2014-05-03 07:48:00","Adoption","Dog",365,"Female","Yes","No","White","No","Cairn Terrier"
"A668402","No","2013-12-05 15:50:00","Transfer","Cat",730,"Unknown","Unknown","No","Black","Yes","Domestic Shorthair"
"A666320","No","2013-11-04 14:48:00","Adoption","Dog",730,"Female","Yes","No","Silver","Yes","Miniature Schnauzer"
"A684601","Yes","2016-02-03 11:27:00","Adoption","Dog",1460,"Male","Yes","No","Brown","Yes","Pit Bull"
"A704702","Yes","2015-06-08 16:30:00","Return_to_owner","Dog",730,"Male","Yes","Yes","Black","Yes","Yorkshire Terrier"
"A688584","Yes","2015-11-25 15:00:00","Return_to_owner","Dog",365,"Male","Yes","Yes","White","Yes","Great Pyrenees"
"A678825","Yes","2014-07-12 12:10:00","Adoption","Cat",90,"Male","Yes","Yes","Orange","Yes","Domestic Shorthair"
"A678050","No","2014-05-03 16:15:00","Transfer","Cat",21,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A680028","No","2014-06-07 12:54:00","Transfer","Dog",14,"Female","No","Yes","Brown","Yes","Pit Bull"
"A679010","Yes","2014-05-17 11:32:00","Transfer","Cat",730,"Female","No","No","White","Yes","Other"
"A684787","Yes","2014-07-30 17:34:00","Return_to_owner","Dog",365,"Male","Yes","No","Black","Yes","Flat Coat Retriever"
"A670658","Yes","2014-01-19 15:03:00","Transfer","Dog",60,"Male","No","Yes","Black","Yes","Queensland Heeler"
"A708812","Yes","2015-09-18 15:19:00","Transfer","Cat",365,"Female","Yes","No","White","Yes","Domestic Shorthair"
"A705262","Yes","2015-08-15 14:22:00","Adoption","Dog",730,"Female","Yes","Yes","Brown","Yes","Plott Hound"
"A665781","Yes","2013-10-28 16:32:00","Adoption","Dog",30,"Male","Yes","Yes","Brown","Yes","German Shepherd"
"A676333","Yes","2014-04-09 17:44:00","Return_to_owner","Dog",60,"Male","Yes","Yes","Black","Yes","German Shepherd"
"A712750","Yes","2015-10-03 15:44:00","Transfer","Cat",30,"Female","No","No","Orange","Yes","Domestic Shorthair"
"A718832","Yes","2016-01-15 17:31:00","Adoption","Dog",180,"Female","Yes","Yes","Chocolate","Yes","American Staffordshire Terrier"
"A698777","Yes","2015-03-25 18:50:00","Adoption","Dog",1825,"Female","Yes","Yes","White","Yes","Chihuahua Shorthair"
"A715348","Yes","2015-11-21 13:01:00","Adoption","Cat",60,"Female","Yes","Yes","Cream","Yes","Domestic Shorthair"
"A708666","Yes","2015-07-30 14:30:00","Return_to_owner","Cat",2555,"Male","Yes","No","Blue","Yes","Other"
"A718535","No","2016-01-01 13:57:00","Euthanasia","Cat",1095,"Female","Yes","No","Calico","Yes","Domestic Shorthair"
"A707341","Yes","2015-07-15 15:25:00","Transfer","Dog",120,"Male","No","Yes","Black","Yes","Labrador Retriever"
"A682532","No","2014-07-03 17:01:00","Adoption","Cat",60,"Female","Yes","No","Torbie","Yes","Domestic Shorthair"
"A666825","Yes","2013-11-08 13:24:00","Return_to_owner","Dog",1825,"Male","Yes","Yes","Brown","Yes","Collie Smooth"
"A699723","Yes","2015-04-11 16:01:00","Transfer","Dog",1095,"Male","Yes","No","Brown","Yes","Chihuahua Shorthair"
"A668626","No","2013-12-06 14:55:00","Euthanasia","Dog",1095,"Male","No","No","Yellow","Yes","Labrador Retriever"
"A657085","Yes","2013-10-24 11:22:00","Return_to_owner","Dog",1095,"Male","Yes","Yes","Brown","Yes","Pit Bull"
"A682413","No","2014-07-02 13:37:00","Transfer","Cat",60,"Male","No","Yes","Blue","Yes","Domestic Shorthair"
"A702655","Yes","2015-08-11 00:00:00","Transfer","Cat",120,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A707503","No","2015-07-14 12:16:00","Transfer","Cat",21,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A697199","Yes","2015-04-04 17:26:00","Adoption","Cat",2555,"Female","Yes","No","Blue","Yes","Domestic Shorthair"
"A705598","No","2015-06-23 13:25:00","Transfer","Cat",60,"Male","No","No","Orange","Yes","Domestic Shorthair"
"A668388","Yes","2013-12-09 15:04:00","Transfer","Cat",60,"Female","No","No","Brown","Yes","Domestic Shorthair"
"A671181","No","2014-01-21 15:15:00","Transfer","Cat",1460,"Male","No","Yes","Black","Yes","Domestic Longhair"
"A676766","Yes","2014-05-28 15:52:00","Adoption","Cat",730,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A686716","Yes","2014-08-27 07:50:00","Return_to_owner","Dog",365,"Male","Yes","No","Tricolor","No","Beagle"
"A684475","Yes","2014-08-05 11:15:00","Return_to_owner","Cat",3285,"Female","Yes","Yes","White","Yes","Domestic Shorthair"
"A701804","No","2015-05-05 11:46:00","Transfer","Cat",21,"Female","No","No","Black","Yes","Domestic Shorthair"
"A697852","Yes","2015-03-09 17:57:00","Adoption","Dog",150,"Female","Yes","Yes","Black","Yes","German Shepherd"
"A666092","No","2013-10-30 15:37:00","Euthanasia","Dog",2190,"Male","No","Yes","Chocolate","Yes","Pit Bull"
"A684050","No","2014-07-28 09:00:00","Transfer","Cat",365,"Female","No","No","Tortie","Yes","Domestic Shorthair"
"A710107","Yes","2015-10-19 18:58:00","Adoption","Cat",90,"Female","Yes","No","Brown","Yes","Domestic Shorthair"
"A682347","No","2014-06-26 17:16:00","Transfer","Cat",21,"Female","No","Yes","Blue","Yes","Domestic Shorthair"
"A701627","Yes","2015-05-14 12:07:00","Adoption","Dog",730,"Male","Yes","Yes","Gray","Yes","Blue Lacy"
"A690902","Yes","2014-11-18 16:05:00","Adoption","Cat",60,"Female","Yes","Yes","Orange","Yes","Domestic Shorthair"
"A712979","No","2015-10-04 15:02:00","Transfer","Cat",7,"Male","No","No","Black","Yes","Domestic Shorthair"
"A707687","Yes","2015-08-16 13:52:00","Adoption","Cat",60,"Female","Yes","No","Calico","Yes","Domestic Shorthair"
"A683443","No","2014-07-18 16:23:00","Transfer","Dog",365,"Male","No","No","Tan","Yes","Chihuahua Shorthair"
"A597644","Yes","2014-09-16 14:05:00","Return_to_owner","Dog",1460,"Female","Yes","Yes","Tan","Yes","Black Mouth Cur"
"A682784","Yes","2014-07-07 12:38:00","Adoption","Dog",730,"Male","Yes","Yes","Brown","Yes","Dachshund"
"A709863","Yes","2015-08-19 13:32:00","Transfer","Cat",365,"Male","No","Yes","Orange","Yes","Domestic Shorthair"
"A678506","Yes","2014-05-09 18:07:00","Euthanasia","Dog",365,"Female","Yes","Yes","Brown","Yes","Yorkshire Terrier"
"A713029","Yes","2015-10-06 15:07:00","Transfer","Cat",30,"Female","No","No","Black","Yes","Domestic Shorthair"
"A712236","Yes","2015-09-23 11:45:00","Adoption","Dog",730,"Female","Yes","Yes","Tan","Yes","Dachshund"
"A683961","No","2014-07-17 17:31:00","Transfer","Cat",14,"Unknown","Unknown","No","Black","Yes","Domestic Shorthair"
"A714740","Yes","2015-10-27 18:32:00","Return_to_owner","Dog",2190,"Female","Yes","No","White","Yes","Maltese"
"A691847","Yes","2014-12-08 15:53:00","Transfer","Dog",180,"Male","Yes","Yes","Black","Yes","Pointer"
"A711392","Yes","2015-09-08 15:31:00","Transfer","Dog",60,"Female","No","No","Buff","No","Other"
"A705258","No","2015-06-16 09:00:00","Transfer","Cat",60,"Unknown","Unknown","Yes","Brown","Yes","Domestic Shorthair"
"A678172","Yes","2014-05-10 18:18:00","Adoption","Dog",365,"Female","Yes","No","Red","Yes","Chihuahua Shorthair"
"A676736","Yes","2014-04-30 17:55:00","Adoption","Dog",60,"Male","Yes","No","Brown","Yes","Other"
"A701575","Yes","2016-01-29 14:53:00","Transfer","Dog",730,"Male","Yes","Yes","Brown","Yes","Pit Bull"
"A674913","No","2014-03-25 18:15:00","Adoption","Dog",1095,"Female","Yes","No","White","Yes","German Shepherd"
"A706446","Yes","2015-08-18 11:32:00","Return_to_owner","Cat",365,"Female","No","No","Black","Yes","Domestic Shorthair"
"A669540","Yes","2013-12-28 16:17:00","Return_to_owner","Dog",1460,"Female","Yes","Yes","Blue","Yes","Yorkshire Terrier"
"A709371","Yes","2015-08-19 14:28:00","Transfer","Dog",730,"Female","Yes","No","Tan","Yes","Cardigan Welsh Corgi"
"A681410","Yes","2014-06-22 17:22:00","Adoption","Cat",90,"Female","Yes","No","Brown","No","Domestic Longhair"
"A675021","No","2014-03-21 17:09:00","Euthanasia","Cat",365,"Female","No","No","Calico","Yes","Domestic Shorthair"
"A704179","Yes","2015-06-07 16:07:00","Adoption","Dog",60,"Male","Yes","No","Black","Yes","Chow Chow"
"A717839","No","2015-12-20 19:38:00","Transfer","Cat",730,"Female","Yes","Yes","Black","Yes","Domestic Shorthair"
"A700740","Yes","2015-12-17 12:10:00","Adoption","Dog",365,"Male","Yes","No","White","No","Chihuahua Shorthair"
"A712376","No","2015-09-22 12:10:00","Euthanasia","Cat",14,"Unknown","Unknown","No","Blue","Yes","Domestic Shorthair"
"A703952","Yes","2015-05-30 18:56:00","Transfer","Cat",28,"Unknown","Unknown","No","Seal Point","Yes","Siamese"
"A713690","No","2015-10-12 09:00:00","Transfer","Cat",730,"Male","No","No","Blue","Yes","Domestic Shorthair"
"A691838","Yes","2015-02-09 17:17:00","Euthanasia","Dog",365,"Male","Yes","No","Brown","Yes","Pit Bull"
"A687789","No","2014-09-14 18:51:00","Adoption","Dog",365,"Male","Yes","Yes","Brown","Yes","Dachshund"
"A704754","Yes","2015-07-18 15:37:00","Adoption","Cat",60,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A707531","No","2015-07-14 15:04:00","Transfer","Cat",14,"Male","No","No","Black","Yes","Domestic Shorthair"
"A677594","No","2014-04-26 18:00:00","Transfer","Dog",90,"Female","No","Yes","Black","Yes","Labrador Retriever"
"A667155","No","2013-11-18 15:56:00","Adoption","Cat",90,"Female","Yes","No","Calico","Yes","Domestic Medium Hair"
"A717147","Yes","2015-12-15 14:16:00","Adoption","Dog",150,"Male","Yes","Yes","Brown","Yes","Plott Hound"
"A687012","Yes","2016-02-07 14:54:00","Adoption","Dog",1095,"Female","Yes","No","Black","Yes","Boxer"
"A676200","Yes","2014-04-10 11:49:00","Transfer","Dog",2555,"Female","Yes","Yes","White","No","Lhasa Apso"
"A676680","Yes","2015-02-06 18:56:00","Euthanasia","Dog",730,"Female","Yes","Yes","Black","Yes","German Shepherd"
"A688443","Yes","2014-12-29 15:11:00","Adoption","Cat",120,"Female","Yes","No","Black","Yes","Domestic Shorthair"
"A715261","Yes","2015-11-15 14:06:00","Adoption","Dog",3285,"Female","Yes","Yes","White","Yes","Beagle"
"A717008","Yes","2015-12-06 15:12:00","Transfer","Dog",210,"Male","Yes","Yes","Black","Yes","Border Collie"
"A683416","No","2014-07-14 19:28:00","Adoption","Cat",60,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A690658","No","2014-10-24 09:00:00","Transfer","Cat",1095,"Male","No","Yes","Black","Yes","Domestic Shorthair"
"A695155","No","2015-01-14 16:18:00","Adoption","Dog",1095,"Male","Yes","No","Gray","Yes","Border Terrier"
